fecha;referencia;descripcion;debito;credito;saldo;tipoMovimiento;indicadorCargoAbono;importe
14/09/2022 - 09:38;9569954537139;CARGO POR IGTF                    ;-0.04;-0.04;13.020,54;5699;Nota de Débito;-0,04
14/09/2022 - 09:38;0590554537139;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.020,58;5602;Nota de Débito;-2,00
14/09/2022 - 09:37;9569954537059;CARGO POR IGTF                    ;-0.04;-0.04;13.022,58;5699;Nota de Débito;-0,04
14/09/2022 - 09:37;0590554537059;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.022,62;5602;Nota de Débito;-2,00
14/09/2022 - 09:36;9569954536974;CARGO POR IGTF                    ;-0.04;-0.04;13.024,62;5699;Nota de Débito;-0,04
14/09/2022 - 09:36;0590554536974;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.024,66;5602;Nota de Débito;-2,00
14/09/2022 - 09:36;9569954536911;CARGO POR IGTF                    ;-0.04;-0.04;13.026,66;5699;Nota de Débito;-0,04
14/09/2022 - 09:36;0590554536911;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.026,70;5602;Nota de Débito;-2,00
14/09/2022 - 09:34;9569954536749;CARGO POR IGTF                    ;-0.04;-0.04;13.028,70;5699;Nota de Débito;-0,04
14/09/2022 - 09:34;0590554536749;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.028,74;5602;Nota de Débito;-2,00
14/09/2022 - 09:33;0590511224161;ABO TRASP A OTRAS CTAS CLAVENET   ;307.20;307.20;13.030,74;1602;Nota de Crédito;307,20
14/09/2022 - 09:33;9569954536689;CARGO POR IGTF                    ;-0.04;-0.04;12.723,54;5699;Nota de Débito;-0,04
14/09/2022 - 09:33;0590554536689;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;12.723,58;5602;Nota de Débito;-2,00
14/09/2022 - 09:31;9569954536453;CARGO POR IGTF                    ;-0.04;-0.04;12.725,58;5699;Nota de Débito;-0,04
14/09/2022 - 09:31;0590554536453;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;12.725,62;5602;Nota de Débito;-2,00
14/09/2022 - 08:16;5490106579334;ABO TRASP A OTRAS CTAS CLAVENET   ;2411.20;2411.20;12.727,62;1602;Nota de Crédito;2.411,20
14/09/2022 - 06:35;0590500540497;ABO TRASP A OTRAS CTAS CLAVENET   ;849.00;849.00;10.316,42;1602;Nota de Crédito;849,00
13/09/2022 - 17:40;9569900064744;CARGO POR IGTF                    ;-10.00;-10.00;9.467,42;5699;Nota de Débito;-10,00
13/09/2022 - 17:40;0676200064744;COMISION PAGO A PROVEEDORES       ;-500.00;-500.00;9.477,42;7931;Nota de Débito;-500,00
13/09/2022 - 17:10;9569900064744;CARGO POR IGTF                    ;-4000.00;-4000.00;9.977,42;5699;Nota de Débito;-4.000,00
13/09/2022 - 17:10;0329200064744;PAGO A PROVEEDORES B D V          ;-200000.00;-200000.00;13.977,42;6513;Nota de Débito;-200.000,00
